============================================================
SUMMARY STATISTICS
============================================================
Total successful tests: 100
Total images processed: 1

Detected Elements Statistics:
  Min: 71
  Max: 113
  Average: 78.48
  Total across all tests: 7848

OCR Text Statistics:
  Min: 52
  Max: 52
  Average: 52.00
  Total across all tests: 5200

Top 5 combinations by detected elements:
  1. Box=0.01, IoU=0.46, Elements=113, OCR=52
  2. Box=0.01, IoU=0.21, Elements=112, OCR=52
  3. Box=0.01, IoU=0.26, Elements=112, OCR=52
  4. Box=0.01, IoU=0.31, Elements=112, OCR=52
  5. Box=0.01, IoU=0.36, Elements=112, OCR=52

Top 5 combinations by OCR text:
  1. Box=0.01, IoU=0.01, Elements=105, OCR=52
  2. Box=0.01, IoU=0.06, Elements=108, OCR=52
  3. Box=0.01, IoU=0.11, Elements=111, OCR=52
  4. Box=0.01, IoU=0.16, Elements=111, OCR=52
  5. Box=0.01, IoU=0.21, Elements=112, OCR=52

================================================================================
DETAILED RESULTS TABLE
================================================================================
| Box  | IoU  | Detected Elements | OCR Text | Image Name        |
| ----- | ----- | ------------------ | --------- | ------------------ |
| 0.01 | 0.01 | 105               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.06 | 108               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.11 | 111               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.16 | 111               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.21 | 112               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.26 | 112               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.31 | 112               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.36 | 112               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.41 | 112               | 52       | TSS-TC-16-screen8 |
| 0.01 | 0.46 | 113               | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.01 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.06 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.11 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.16 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.21 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.26 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.31 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.36 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.41 | 85                | 52       | TSS-TC-16-screen8 |
| 0.06 | 0.46 | 85                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.01 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.06 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.11 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.16 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.21 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.26 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.31 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.36 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.41 | 80                | 52       | TSS-TC-16-screen8 |
| 0.11 | 0.46 | 80                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.01 | 76                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.06 | 76                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.11 | 76                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.16 | 76                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.21 | 76                | 52       | TSS-TC-16-screen8 |
| 0.16 | 0.26 | 76                | 52       | TSS-TC-16-screen8 |
